"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
8,"Airport Pollock","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,1,6,"4.99",54,"15.99","R","2013-05-26 14:50:58.951","{Trailers}","'airport':1 'ancient':18 'confront':14 'epic':4 'girl':11 'india':19 'monkey':16 'moos':8 'must':13 'pollock':2 'tale':5"
98,"Bright Encounters","A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat",2006,1,4,"4.99",73,"12.99","PG-13","2013-05-26 14:50:58.951","{Trailers}","'boat':20 'bright':1 'conquer':14 'encount':2 'fate':4 'feminist':11 'jet':19 'lumberjack':8 'must':13 'student':16 'yarn':5"
2,"Ace Goldfinger","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,1,3,"4.99",48,"12.99","G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'ace':1 'administr':9 'ancient':19 'astound':4 'car':17 'china':20 'databas':8 'epistl':5 'explor':12 'find':15 'goldfing':2 'must':14"
7,"Airplane Sierra","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,1,6,"4.99",62,"28.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'airplan':1 'boat':20 'butler':11,16 'discov':14 'hunter':8 'jet':19 'must':13 'saga':5 'sierra':2 'touch':4"
25,"Angels Life","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,1,3,"2.99",74,"15.99","G","2013-05-26 14:50:58.951","{Trailers}","'angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8"
26,"Annie Identity","A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park",2006,1,3,"0.99",86,"15.99","G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'abandon':20 'amaz':4 'amus':21 'anni':1 'boat':12 'chef':9 'escap':15 'ident':2 'must':14 'panorama':5 'park':22 'pastri':8 'woman':17"
27,"Anonymous Human","A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank",2006,1,7,"0.99",179,"12.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'administr':9,18 'amaz':4 'anonym':1 'astronaut':12 'databas':8,17 'human':2 'must':14 'outrac':15 'reflect':5 'shark':21 'tank':22"
33,"Apollo Teen","A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft",2006,1,5,"2.99",153,"15.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'abandon':22 'action':5 'action-pack':4 'apollo':1 'crocodil':10 'explor':13 'find':16 'mine':23 'must':15 'pack':6 'reflect':7 'shaft':24 'sumo':18 'teen':2 'wrestler':19"
36,"Argonauts Town","A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft",2006,1,7,"0.99",127,"12.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':20 'argonaut':1 'butler':12 'challeng':15 'emot':4 'epistl':5 'forens':8 'mine':21 'must':14 'psychologist':9 'shaft':22 'town':2 'waitress':17"
37,"Arizona Bang","A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery",2006,1,3,"2.99",121,"28.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'arizona':1 'bang':2 'brilliant':4 'cow':13 'mad':8,12 'meet':16 'monasteri':21 'must':15 'panorama':5 'pioneer':18 'scientist':9"
265,"Dying Maker","A Intrepid Tale of a Boat And a Monkey who must Kill a Cat in California",2006,1,5,"4.99",168,"28.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'boat':8 'california':18 'cat':16 'die':1 'intrepid':4 'kill':14 'maker':2 'monkey':11 'must':13 'tale':5"
43,"Atlantis Cause","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",2006,1,6,"2.99",170,"15.99","G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'atlanti':1 'caus':2 'feminist':8 'fight':14 'hunter':11 'must':13 'shark':20 'tank':21 'technic':16 'thrill':4 'writer':17 'yarn':5"
54,"Banger Pinocchio","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",2006,1,5,"0.99",113,"15.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'awe':5 'awe-inspir':4 'banger':1 'car':10 'chase':17 'chef':14 'crocodil':19 'drama':7 'first':22 'inspir':6 'man':23 'must':16 'pastri':13 'pinocchio':2 'space':24 'station':25"
56,"Barefoot Manchurian","A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park",2006,1,6,"2.99",129,"15.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':19 'amus':20 'barefoot':1 'cat':8 'girl':16 'intrepid':4 'manchurian':2 'must':13 'park':21 'stori':5 'student':11 'vanquish':14"
61,"Beauty Grease","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft",2006,1,5,"4.99",175,"28.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':21 'beauti':1 'compos':10 'display':7 'fast':5 'fast-pac':4 'greas':2 'mine':22 'moos':13 'must':15 'pace':6 'robot':18 'shaft':23 'sink':16"
72,"Bill Others","A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention",2006,1,6,"2.99",93,"12.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'bill':1 'challeng':16 'convent':22 'forens':12 'mad':8 'must':15 'mysql':21 'other':2 'psychologist':13 'saga':5 'scientist':9 'squirrel':18 'stun':4"
77,"Birds Perdition","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",2006,1,5,"4.99",61,"15.99","G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bird':1 'bore':4 'california':18 'dog':16 'face':14 'must':13 'perdit':2 'pioneer':11 'stori':5 'woman':8"
78,"Blackout Private","A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan",2006,1,7,"2.99",85,"12.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'agent':19 'ancient':21 'blackout':1 'challeng':16 'chef':9 'intrepid':4 'japan':22 'mad':12 'must':15 'pastri':8 'privat':2 'scientist':13 'secret':18 'yarn':5"
117,"Candles Grapes","A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House",2006,1,6,"4.99",135,"15.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':20 'astronaut':17 'build':15 'candl':1 'charact':5 'explor':12 'fanci':4 'fun':21 'grape':2 'hous':22 'monkey':9 'must':14 'studi':6"
