"country","city"
"Afghanistan","Kabul"
"Algeria","Bchar"
"Algeria","Batna"
"Algeria","Skikda"
"American Samoa","Tafuna"
"Angola","Namibe"
"Angola","Benguela"
"Anguilla","South Hill"
"Argentina","Escobar"
"Argentina","Ezeiza"
"Argentina","Quilmes"
"Argentina","Crdoba"
"Argentina","Almirante Brown"
"Argentina","Merlo"
"Argentina","Avellaneda"
"Argentina","Baha Blanca"
"Argentina","La Plata"
"Argentina","Santa F"
"Argentina","Tandil"
"Argentina","Vicente Lpez"
"Argentina","San Miguel de Tucumn"
"Armenia","Yerevan"
"Australia","Woodridge"
"Austria","Salzburg"
"Austria","Graz"
"Austria","Linz"
"Azerbaijan","Sumqayit"
"Azerbaijan","Baku"
"Bahrain","al-Manama"
"Bangladesh","Dhaka"
"Bangladesh","Jamalpur"
"Bangladesh","Tangail"
"Belarus","Mogiljov"
"Belarus","Molodetno"
"Bolivia","Sucre"
"Bolivia","El Alto"
"Brazil","Luzinia"
"Brazil","Boa Vista"
"Brazil","Santa Brbara dOeste"
"Brazil","Santo Andr"
"Brazil","Braslia"
"Brazil","So Bernardo do Campo"
"Brazil","So Leopoldo"
"Brazil","Sorocaba"
"Brazil","Alvorada"
"Brazil","Juiz de Fora"
"Brazil","Angra dos Reis"
"Brazil","Anpolis"
"Brazil","Aparecida de Goinia"
"Brazil","Araatuba"
"Brazil","Juazeiro do Norte"
"Brazil","Blumenau"
"Brazil","Vitria de Santo Anto"
"Brazil","Vila Velha"
"Brazil","Ibirit"
"Brazil","Bag"
"Brazil","Po"
"Brazil","Poos de Caldas"
"Brazil","guas Lindas de Gois"
"Brazil","Guaruj"
"Brazil","Goinia"
"Brazil","Belm"
"Brazil","Rio Claro"
"Brazil","Maring"
"Brunei","Bandar Seri Begawan"
"Bulgaria","Stara Zagora"
"Bulgaria","Ruse"
"Cambodia","Phnom Penh"
"Cambodia","Battambang"
"Cameroon","Bamenda"
"Cameroon","Yaound"
"Canada","London"
"Canada","Lethbridge"
"Canada","Richmond Hill"
"Canada","Oshawa"
"Canada","Halifax"
"Canada","Vancouver"
"Canada","Gatineau"
"Chad","NDjamna"
"Chile","Antofagasta"
"Chile","Rancagua"
"Chile","Coquimbo"
"China","Hohhot"
"China","Korla"
"China","Liaocheng"
"China","Yantai"
"China","Leshan"
"China","Lengshuijiang"
"China","Laiwu"
"China","Laohekou"
"China","Xinxiang"
"China","Xintai"
"China","Xiangtan"
"China","Xiangfan"
"China","Weifang"
"China","Baicheng"
"China","Baiyin"
"China","Tongliao"
"China","Binzhou"
"China","Tieli"
"China","Tiefa"
"China","Tianjin"
"China","Suihua"
"China","Changzhou"
"China","Shenzhen"
"China","Shaoguan"
"China","Shanwei"
"China","Sanya"
"China","Datong"
"China","Daxian"
"China","Dongying"
"China","Rizhao"
"China","Emeishan"
"China","Enshi"
"China","Ezhou"
"China","Zaoyang"
"China","Fuyu"
"China","Fuzhou"
"China","Qinhuangdao"
"China","Haining"
"China","Hami"
"China","Zalantun"
"China","Yuzhou"
"China","Pingxiang"
"China","Huaian"
"China","Yuncheng"
"China","Zhoushan"
"China","Yingkou"
"China","Nanyang"
"China","Jinchang"
"China","Jining"
"China","Jinzhou"
"China","Junan"
"China","Yinchuan"
"China","Meixian"
"Colombia","Dos Quebradas"
"Colombia","Florencia"
"Colombia","Pereira"
"Colombia","Sogamoso"
"Colombia","Sincelejo"
"Colombia","Buenaventura"
"Congo, The Democratic Republic of the","Lubumbashi"
"Congo, The Democratic Republic of the","Mwene-Ditu"
"Czech Republic","Olomouc"
"Dominican Republic","La Romana"
"Dominican Republic","Santiago de los Caballeros"
"Dominican Republic","San Felipe de Puerto Plata"
"Ecuador","Portoviejo"
"Ecuador","Robamba"
"Ecuador","Loja"
"Egypt","Sawhaj"
"Egypt","Shubra al-Khayma"
"Egypt","Qalyub"
"Egypt","Bilbays"
"Egypt","Idfu"
"Egypt","Mit Ghamr"
"Estonia","Tartu"
"Ethiopia","Addis Abeba"
"Faroe Islands","Trshavn"
"Finland","Oulu"
"France","Brest"
"France","Toulouse"
"France","Toulon"
"France","Le Mans"
"French Guiana","Cayenne"
"French Polynesia","Faaa"
"French Polynesia","Papeete"
"Gambia","Banjul"
"Germany","Mannheim"
"Germany","Halle/Saale"
"Germany","Witten"
"Germany","Duisburg"
"Germany","Siegen"
"Germany","Erlangen"
"Germany","Saarbrcken"
"Greece","Athenai"
"Greece","Patras"
"Greenland","Nuuk"
"Holy See (Vatican City State)","Citt del Vaticano"
"Hong Kong","Kowloon and New Kowloon"
"Hungary","Szkesfehrvr"
"India","Palghat (Palakkad)"
"India","Bijapur"
"India","Dhule (Dhulia)"
"India","Ambattur"
"India","Sambhal"
"India","Bhusawal"
"India","Bhopal"
"India","Bhimavaram"
"India","Munger (Monghyr)"
"India","Bhilwara"
"India","Bhavnagar"
"India","Berhampore (Baharampur)"
"India","Ranchi"
"India","Etawah"
"India","Yamuna Nagar"
"India","Firozabad"
"India","Rampur"
"India","Allappuzha (Alleppey)"
"India","Rajkot"
"India","Kamarhati"
"India","Gandhinagar"
"India","Rae Bareli"
"India","Udaipur"
"India","Purnea (Purnia)"
"India","Pune"
"India","Uluberia"
"India","Uttarpara-Kotrung"
"India","Gulbarga"
"India","Pudukkottai"
"India","Haldia"
"India","Halisahar"
"India","Kanchrapara"
"India","Valparai"
"India","Miraj"
"India","Karnal"
"India","Balurghat"
"India","Hoshiarpur"
"India","Katihar"
"India","Hubli-Dharwad"
"India","Varanasi (Benares)"
"India","Vijayawada"
"India","Patiala"
"India","Pathankot"
"India","Parbhani"
"India","Adoni"
"India","Ahmadnagar"
"India","Kumbakonam"
"India","Jaipur"
"India","Jhansi"
"India","Jodhpur"
"India","Chandrapur"
"India","Chapra"
"India","Tambaram"
"India","Siliguri (Shiliguri)"
"India","Shivapuri"
"India","Shimoga"
"India","Nagaon"
"India","Mysore"
"India","Satna"
"India","Amroha"
"Indonesia","Lhokseumawe"
"Indonesia","Tegal"
"Indonesia","Surakarta"
"Indonesia","Probolinggo"
"Indonesia","Purwakarta"
"Indonesia","Gorontalo"
"Indonesia","Cianjur"
"Indonesia","Ciomas"
"Indonesia","Ciparay"
"Indonesia","Jakarta"
"Indonesia","Pangkal Pinang"
"Indonesia","Pemalang"
"Indonesia","Pontianak"
"Indonesia","Madiun"
"Iran","Najafabad"
"Iran","Sirjan"
"Iran","Shahr-e Kord"
"Iran","Esfahan"
"Iran","Qomsheh"
"Iran","Arak"
"Iran","Tabriz"
"Iran","Kermanshah"
"Iraq","Mosul"
"Israel","Tel Aviv-Jaffa"
"Israel","Ashqelon"
"Israel","Bat Yam"
"Israel","Ashdod"
"Italy","Brindisi"
"Italy","Bergamo"
"Italy","Livorno"
"Italy","Alessandria"
"Italy","Syrakusa"
"Italy","Udine"
"Italy","Brescia"
"Japan","Okayama"
"Japan","Akishima"
"Japan","Fukuyama"
"Japan","Higashiosaka"
"Japan","Hino"
"Japan","Hiroshima"
"Japan","Isesaki"
"Japan","Iwaki"
"Japan","Iwakuni"
"Japan","Iwatsuki"
"Japan","Izumisano"
"Japan","Kakamigahara"
"Japan","Kamakura"
"Japan","Kanazawa"
"Japan","Koriyama"
"Japan","Kurashiki"
"Japan","Kuwana"
"Japan","Matsue"
"Japan","Miyakonojo"
"Japan","Nagareyama"
"Japan","Okinawa"
"Japan","Omiya"
"Japan","Onomichi"
"Japan","Otsu"
"Japan","Sagamihara"
"Japan","Sasebo"
"Japan","Shimonoseki"
"Japan","Tama"
"Japan","Tsuyama"
"Japan","Ueda"
"Japan","Urawa"
"Kazakstan","Zhezqazghan"
"Kazakstan","Pavlodar"
"Kenya","Nyeri"
"Kenya","Kisumu"
"Kuwait","Jalib al-Shuyukh"
"Latvia","Liepaja"
"Latvia","Daugavpils"
"Liechtenstein","Vaduz"
"Lithuania","Vilnius"
"Madagascar","Mahajanga"
"Malawi","Lilongwe"
"Malaysia","Kuching"
"Malaysia","Ipoh"
"Malaysia","Sungai Petani"
"Mexico","Mexicali"
"Mexico","Huixquilucan"
"Mexico","Celaya"
"Mexico","Carmen"
"Mexico","Coacalco de Berriozbal"
"Mexico","Coatzacoalcos"
"Mexico","Cuauhtmoc"
"Mexico","Cuautla"
"Mexico","Cuernavaca"
"Mexico","Zapopan"
"Mexico","San Juan Bautista Tuxtepec"
"Mexico","San Felipe del Progreso"
"Mexico","Salamanca"
"Mexico","Matamoros"
"Mexico","La Paz"
"Mexico","El Fuerte"
"Mexico","Monclova"
"Mexico","Torren"
"Mexico","Allende"
"Mexico","Jurez"
"Mexico","Jos Azueta"
"Mexico","Guadalajara"
"Mexico","Hidalgo"
"Mexico","Huejutla de Reyes"
"Mexico","Acua"
"Mexico","Nezahualcyotl"
"Mexico","Atlixco"
"Mexico","Pachuca de Soto"
"Mexico","Valle de Santiago"
"Mexico","Uruapan"
"Moldova","Chisinau"
"Morocco","Beni-Mellal"
"Morocco","Sal"
"Morocco","Nador"
"Mozambique","Naala-Porto"
"Mozambique","Beira"
"Mozambique","Tete"
"Myanmar","Monywa"
"Myanmar","Myingyan"
"Nauru","Yangor"
"Nepal","Birgunj"
"Netherlands","s-Hertogenbosch"
"Netherlands","Ede"
"Netherlands","Apeldoorn"
"Netherlands","Emmen"
"Netherlands","Amersfoort"
"New Zealand","Hamilton"
"Nigeria","Ife"
"Nigeria","Oyo"
"Nigeria","Zaria"
"Nigeria","Benin City"
"Nigeria","Ogbomosho"
"Nigeria","Deba Habe"
"Nigeria","Effon-Alaiye"
"Nigeria","Ikerre"
"Nigeria","Ilorin"
"Nigeria","Kaduna"
"Nigeria","Owo"
"Nigeria","Ondo"
"Nigeria","Sokoto"
"North Korea","Pyongyang"
"Oman","Masqat"
"Oman","Salala"
"Pakistan","Mandi Bahauddin"
"Pakistan","Dadu"
"Pakistan","Mardan"
"Pakistan","Okara"
"Pakistan","Shikarpur"
"Paraguay","Asuncin"
"Paraguay","Ciudad del Este"
"Paraguay","San Lorenzo"
"Peru","Sullana"
"Peru","Hunuco"
"Peru","Lima"
"Peru","Callao"
"Philippines","Bayugan"
"Philippines","Ozamis"
"Philippines","Davao"
"Philippines","Santa Rosa"
"Philippines","Imus"
"Philippines","Taguig"
"Philippines","Iligan"
"Philippines","Talavera"
"Philippines","Lapu-Lapu"
"Philippines","Tarlac"
"Philippines","Tanza"
"Philippines","Tanauan"
"Philippines","Cabuyao"
"Philippines","Mandaluyong"
"Philippines","Cavite"
"Philippines","Tuguegarao"
"Philippines","Hagonoy"
"Philippines","Gingoog"
"Philippines","Baybay"
