"city","country"
"A Corua (La Corua)","Spain"
"Abha","Saudi Arabia"
"Abu Dhabi","United Arab Emirates"
"Acua","Mexico"
"Adana","Turkey"
"Addis Abeba","Ethiopia"
"Aden","Yemen"
"Adoni","India"
"Ahmadnagar","India"
"Akishima","Japan"
"Akron","United States"
"al-Ayn","United Arab Emirates"
"al-Hawiya","Saudi Arabia"
"al-Manama","Bahrain"
"al-Qadarif","Sudan"
"al-Qatif","Saudi Arabia"
"Alessandria","Italy"
"Allappuzha (Alleppey)","India"
"Allende","Mexico"
"Almirante Brown","Argentina"
"Alvorada","Brazil"
"Ambattur","India"
"Amersfoort","Netherlands"
"Amroha","India"
"Angra dos Reis","Brazil"
"Anpolis","Brazil"
"Antofagasta","Chile"
"Aparecida de Goinia","Brazil"
"Apeldoorn","Netherlands"
"Araatuba","Brazil"
"Arak","Iran"
"Arecibo","Puerto Rico"
"Arlington","United States"
"Ashdod","Israel"
"Ashgabat","Turkmenistan"
"Ashqelon","Israel"
"Asuncin","Paraguay"
"Athenai","Greece"
"Atinsk","Russian Federation"
"Atlixco","Mexico"
"Augusta-Richmond County","United States"
"Aurora","United States"
"Avellaneda","Argentina"
"Bag","Brazil"
"Baha Blanca","Argentina"
"Baicheng","China"
"Baiyin","China"
"Baku","Azerbaijan"
"Balaiha","Russian Federation"
"Balikesir","Turkey"
"Balurghat","India"
"Bamenda","Cameroon"
"Bandar Seri Begawan","Brunei"
"Banjul","Gambia"
"Barcelona","Venezuela"
"Basel","Switzerland"
"Bat Yam","Israel"
"Batman","Turkey"
"Batna","Algeria"
"Battambang","Cambodia"
"Baybay","Philippines"
"Bayugan","Philippines"
"Bchar","Algeria"
"Beira","Mozambique"
"Bellevue","United States"
"Belm","Brazil"
"Benguela","Angola"
"Beni-Mellal","Morocco"
"Benin City","Nigeria"
"Bergamo","Italy"
"Berhampore (Baharampur)","India"
"Bern","Switzerland"
"Bhavnagar","India"
"Bhilwara","India"
"Bhimavaram","India"
"Bhopal","India"
"Bhusawal","India"
"Bijapur","India"
"Bilbays","Egypt"
"Binzhou","China"
"Birgunj","Nepal"
"Bislig","Philippines"
"Blumenau","Brazil"
"Boa Vista","Brazil"
"Boksburg","South Africa"
"Botosani","Romania"
"Botshabelo","South Africa"
